FW,Serial No/VIN,VIN6,Ending Balance, 2100        ,VIN6,Description,Control    
2025 Buick BUCK ENCLV E,5GAERBRS4SJ106039,106039,"$21,875.12 "," (21,875.12)",106039,2025 BUICK ENCLAVE      3/11/26  5GAERBRS4SJ106039,B34054
2026 Subaru CROSSTREK5 DO,4S4GUHB60T3704829,704829,"$26,212.00 "," (26,212.00)",704829,4S4GUHB60T3704829,R4601
2026 Subaru CROSSTREK5 DO,4S4GUHD68T3706986,706986,"$26,459.00 "," (26,459.00)",706986,2026 SUBARU CROSSTREK   1/29/26  4S4GUHD68T3706986,R4612
2026 Buick ENVISTA,KL47LAEPXTB068648,068648,"$26,925.61 "," (26,925.61)",068648,2026 BUICK ENVISTA      2/17/26  KL47LAEPXTB068648,B36263
2026 Subaru CROSSTREK5 DO,4S4GUHB68T3752434,752434,"$27,090.00 "," (27,090.00)",752434,HUFFINES SUBARU CORIN   3/24/26  4S4GUHB68T3752434,R5131
,,,," (27,217.00)",067808,2026 SUBARU FORESTER    3/11/26  4S4SLDA66T3067808,R5073
2026 Subaru CROSSTREK5 DO,4S4GUHB69T3756010,756010,"$27,256.00 "," (27,256.00)",756010,2026 SUBARU CROSSTREK   3/20/26  4S4GUHB69T3756010,R5103
2026 Subaru CROSSTREK5 DO,4S4GUHB66T3735745,735745,"$27,270.00 "," (27,270.00)",735745,"OLGUIN HORTA, JONATHA   1/29/26  4S4GUHB66T3735745",R4901
2026 Subaru CROSSTREK5 DO,4S4GUHB68T3742471,742471,"$27,270.00 "," (27,270.00)",742471,2026 SUBARU CROSSTREK   2/20/26  4S4GUHB68T3742471,R4983
2026 Subaru IMPREZA5 DOOR,JF1GUAFC3T8238561,238561,"$27,310.00 "," (27,310.00)",238561,2026 SUBARU IMPREZA     3/24/26  JF1GUAFC3T8238561,R5137
2026 Buick BUCK ENVIST,KL47LAEP4TB093464,093464,"$27,427.03 "," (27,427.03)",093464,2026 BUICK ENVISTA     12/04/25  KL47LAEP4TB093464,B35956
2026 Buick BUCK ENVIST,KL47LAEP3TB102154,102154,"$27,467.05 "," (27,467.05)",102154,2026 BUICK ENVISTA      1/09/26  KL47LAEP3TB102154,B36141
2026 Buick BUCK ENVIST,KL47LAEP7TB113609,113609,"$27,467.05 "," (27,467.05)",113609,2026 BUICK ENVISTA     12/29/25  KL47LAEP7TB113609,B36103
2026 Buick BUCK ENVIST,KL47LAEP6TB117215,117215,"$27,467.05 "," (27,467.05)",117215,2026 BUICK ENVISTA     12/29/25  KL47LAEP6TB117215,B36104
2026 Buick BUCK ENVIST,KL47LAEP6TB117232,117232,"$27,467.05 "," (27,467.05)",117232,2026 BUICK ENVISTA     12/29/25  KL47LAEP6TB117232,B36105
2026 Subaru IMPREZA5 DOOR,JF1GUAFC7T8222993,222993,"$27,501.00 "," (27,501.00)",222993,2026 SUBARU IMPREZA     2/09/26  JF1GUAFC7T8222993,R4930
2026 Buick BUCK ENVIST,KL47LAEP8TB081642,081642,"$27,560.45 "," (27,560.45)",081642,2026 BUICK ENVISTA     11/18/25  KL47LAEP8TB081642,B35870
2026 Buick BUCK ENVIST,KL47LAEP3TB104485,104485,"$27,924.93 "," (27,924.93)",104485,2026 BUICK ENVISTA      1/05/26  KL47LAEP3TB104485,B36123
2026 Buick BUCK ENVIST,KL47LAEP3TB106494,106494,"$27,924.93 "," (27,924.93)",106494,2026 BUICK ENVISTA      1/16/26  KL47LAEP3TB106494,B36156
2026 Buick BUCK ENVIST,KL47LAEP2TB109029,109029,"$27,924.93 "," (27,924.93)",109029,2026 BUICK ENVISTA      1/20/26  KL47LAEP2TB109029,B36163
2026 Buick BUCK ENVIST,KL47LAEPXTB110719,110719,"$27,924.93 "," (27,924.93)",110719,2026 BUICK ENVISTA      1/20/26  KL47LAEPXTB110719,B36165
2026 Buick BUCK ENVIST,KL47LAEP3TB115132,115132,"$27,924.93 "," (27,924.93)",115132,2026 BUICK ENVISTA      2/11/26  KL47LAEP3TB115132,B36249
2026 Buick BUCK ENVIST,KL47LAEP2TB115137,115137,"$27,924.93 "," (27,924.93)",115137,2026 BUICK ENVISTA      2/11/26  KL47LAEP2TB115137,B36250
2026 Buick BUCK ENVIST,KL47LAEP4TB115138,115138,"$27,924.93 "," (27,924.93)",115138,2026 BUICK ENVISTA      2/11/26  KL47LAEP4TB115138,B36259
2026 Buick BUCK ENVIST,KL47LAEP3TB116510,116510,"$27,924.93 "," (27,924.93)",116510,2026 BUICK ENVISTA     12/29/25  KL47LAEP3TB116510,B36101
2026 Buick BUCK ENVIST,KL47LAEP8TB116521,116521,"$27,924.93 "," (27,924.93)",116521,2026 BUICK ENVISTA     12/29/25  KL47LAEP8TB116521,B36102
2026 Buick BUCK ENVIST,KL47LAEP1TB116571,116571,"$27,924.93 "," (27,924.93)",116571,2026 BUICK ENVISTA      1/05/26  KL47LAEP1TB116571,B36122
2026 Buick BUCK ENVIST,KL47LAEP9TB121677,121677,"$28,017.43 "," (28,017.43)",121677,2026 BUICK ENVISTA      2/09/26  KL47LAEP9TB121677,B36227
2026 Buick BUCK ENVIST,KL47LAEP3TB121691,121691,"$28,017.43 "," (28,017.43)",121691,2026 BUICK ENVISTA      2/04/26  KL47LAEP3TB121691,B36205
2026 Buick BUCK ENVIST,KL47LAEP6TB121703,121703,"$28,017.43 "," (28,017.43)",121703,2026 BUICK ENVISTA      2/09/26  KL47LAEP6TB121703,B36239
2026 Buick BUCK ENVIST,KL47LAEP8TB121704,121704,"$28,017.43 "," (28,017.43)",121704,2026 BUICK ENVISTA      2/11/26  KL47LAEP8TB121704,B36256
2026 Buick BUCK ENVIST,KL47LAEP3TB121710,121710,"$28,017.43 "," (28,017.43)",121710,2026 BUICK ENVISTA      2/11/26  KL47LAEP3TB121710,B36257
2026 Buick BUCK ENVIST,KL47LAEP6TB121717,121717,"$28,017.43 "," (28,017.43)",121717,2026 BUICK ENVISTA      2/11/26  KL47LAEP6TB121717,B36258
2026 Buick BUCK ENVIST,KL47LAEPXTB136379,136379,"$28,017.43 "," (28,017.43)",136379,2026 BUICK ENVISTA      2/09/26  KL47LAEPXTB136379,B36241
2026 Buick BUCK ENVIST,KL47LAEP5TB136385,136385,"$28,017.43 "," (28,017.43)",136385,2026 BUICK ENVISTA      2/16/26  KL47LAEP5TB136385,B36299
2026 Buick BUCK ENVIST,KL47LAEP0TB138576,138576,"$28,017.43 "," (28,017.43)",138576,2026 BUICK ENVISTA      3/26/26  KL47LAEP0TB138576,B36591
2026 Buick BUCK ENVIST,KL47LAEP7TB140504,140504,"$28,017.43 "," (28,017.43)",140504,2026 BUICK ENVISTA      2/16/26  KL47LAEP7TB140504,B36293
2026 Buick BUCK ENVIST,KL47LAEP8TB168540,168540,"$28,017.43 "," (28,017.43)",168540,2026 BUICK ENVISTA      3/09/26  KL47LAEP8TB168540,B36400
2026 Buick BUCK ENVIST,KL47LBEPXTB051953,051953,"$28,390.10 "," (28,390.10)",051953,2026 BUICK ENVISTA      9/02/25  KL47LBEPXTB051953,B35282
2026 Buick BUCK ENVIST,KL47LAEP1TB120667,120667,"$28,475.30 "," (28,475.30)",120667,2026 BUICK ENVISTA      2/18/26  KL47LAEP1TB120667,B36327
2026 Buick BUCK ENVIST,KL47LAEP5TB120705,120705,"$28,475.30 "," (28,475.30)",120705,2026 BUICK ENVISTA      2/04/26  KL47LAEP5TB120705,B36203
2026 Buick BUCK ENVIST,KL47LAEP5TB120719,120719,"$28,475.30 "," (28,475.30)",120719,2026 BUICK ENVISTA      2/11/26  KL47LAEP5TB120719,B36260
2026 Buick BUCK ENVIST,KL47LAEP3TB120749,120749,"$28,475.30 "," (28,475.30)",120749,2026 BUICK ENVISTA      2/02/26  KL47LAEP3TB120749,B36197
2026 Buick BUCK ENVIST,KL47LAEP0TB120756,120756,"$28,475.30 "," (28,475.30)",120756,2026 BUICK ENVISTA      2/02/26  KL47LAEP0TB120756,B36196
2026 Buick BUCK ENVIST,KL47LAEP2TB120757,120757,"$28,475.30 "," (28,475.30)",120757,2026 BUICK ENVISTA      2/04/26  KL47LAEP2TB120757,B36204
2026 Buick BUCK ENVIST,KL47LAEP1TB121091,121091,"$28,475.30 "," (28,475.30)",121091,2026 BUICK ENVISTA      2/03/26  KL47LAEP1TB121091,B36202
2026 Buick BUCK ENVIST,KL47LAEP4TB121098,121098,"$28,475.30 "," (28,475.30)",121098,2026 BUICK ENVISTA      2/04/26  KL47LAEP4TB121098,B36206
2026 Buick BUCK ENVIST,KL47LAEP5TB121143,121143,"$28,475.30 "," (28,475.30)",121143,2026 BUICK ENVISTA      2/02/26  KL47LAEP5TB121143,B36198
2026 Buick BUCK ENVIST,KL47LAEP9TB121162,121162,"$28,475.30 "," (28,475.30)",121162,2026 BUICK ENVISTA      2/02/26  KL47LAEP9TB121162,B36199
2026 Buick BUCK ENVIST,KL47LAEP1TB135640,135640,"$28,475.30 "," (28,475.30)",135640,2026 BUICK ENVISTA      2/09/26  KL47LAEP1TB135640,B36240
2026 Buick BUCK ENVIST,KL47LAEP1TB136321,136321,"$28,475.30 "," (28,475.30)",136321,2026 BUICK ENVISTA      2/16/26  KL47LAEP1TB136321,B36292
2026 Buick BUCK ENVIST,KL47LAEP8TB138583,138583,"$28,475.30 "," (28,475.30)",138583,2026 BUICK ENVISTA      3/27/26  KL47LAEP8TB138583,B36609
2026 Buick BUCK ENVIST,KL47LAEPXTB139072,139072,"$28,475.30 "," (28,475.30)",139072,2026 BUICK ENVISTA      2/16/26  KL47LAEPXTB139072,B36304
2026 Buick BUCK ENVIST,KL47LAEP0TB139078,139078,"$28,475.30 "," (28,475.30)",139078,2026 BUICK ENVISTA      2/16/26  KL47LAEP0TB139078,B36300
2026 Buick BUCK ENVIST,KL47LAEP2TB139079,139079,"$28,475.30 "," (28,475.30)",139079,2026 BUICK ENVISTA      3/16/26  KL47LAEP2TB139079,B36462
2026 Buick BUCK ENVIST,KL47LAEP4TB167370,167370,"$28,475.30 "," (28,475.30)",167370,2026 BUICK ENVISTA      3/09/26  KL47LAEP4TB167370,B36399
2026 Buick BUCK ENVIST,KL47LAEP0TB167754,167754,"$28,475.30 "," (28,475.30)",167754,2026 BUICK ENVISTA      3/10/26  KL47LAEP0TB167754,B36416
2026 Buick BUCK ENVIST,KL47LAEP3TB170485,170485,"$28,475.30 "," (28,475.30)",170485,2026 BUICK ENVISTA      3/17/26  KL47LAEP3TB170485,B36468
2026 Buick BUCK ENVIST,KL47LAEP3TB180966,180966,"$28,475.30 ",,,,
2026 Subaru CROSSTREK5 DO,4S4GUHD69T3750141,750141,"$28,522.00 "," (28,522.00)",750141,FIVE STAR SUBARU        3/11/26  4S4GUHD69T3750141,R5058
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3750309,750309,"$28,522.00 "," (28,522.00)",750309,2026 SUBARU CROSSTREK   3/06/26  4S4GUHD6XT3750309,R5053
2026 Subaru CROSSTREK5 DO,4S4GUHD65T3756020,756020,"$28,654.00 "," (28,654.00)",756020,2026 SUBARU CROSSTREK   3/20/26  4S4GUHD65T3756020,R5104
2026 Subaru CROSSTREK5 DO,4S4GUHD64T3756073,756073,"$28,654.00 "," (28,654.00)",756073,2026 SUBARU CROSSTREK   3/31/26  4S4GUHD64T3756073,R5193
