ACURA,Serial No/VIN,VIN6,Ending Balance, 324         ,VIN6,Description,Control    
2025 Acura ACURATLXTE,19UUB5F41SA000431,000431,"$17,994.80 "," (17,994.80)",000431,2025 ACURA TLX          4/14/26  19UUB5F41SA000431,A7005
2026 Acura ACURAINTEG,19UDE4H27TA014381,014381,"$34,205.00 "," (34,205.00)",014381,2026 ACURA INTEGRA      4/08/26  19UDE4H27TA014381,A8161
2026 Acura ACURAINTEG,19UDE4H29TA008453,008453,"$34,436.00 "," (34,436.00)",008453,2026 ACURA INTEGRA      1/21/26  19UDE4H29TA008453,A7893
2026 Acura ACURAINTEG,19UDE4H2XTA008557,008557,"$34,436.00 "," (34,436.00)",008557,2026 ACURA INTEGRA      1/21/26  19UDE4H2XTA008557,A7896
2026 Acura ACURAINTEG,19UDE4H21TA011251,011251,"$34,436.00 "," (34,436.00)",011251,2026 ACURA INTEGRA      2/26/26  19UDE4H21TA011251,A7966
2026 Acura ACURAINTEG,19UDE4H26TA012833,012833,"$34,436.00 "," (34,436.00)",012833,2026 ACURA INTEGRA      3/07/26  19UDE4H26TA012833,A8033
,,,," (34,436.00)",016307,"FLETCHER, SHANEQUA AN   4/30/26  19UDE4H25TA016307",A8233
2026 Acura ACURAADX,3HDSA1H32TM701097,701097,"$35,575.00 "," (35,575.00)",701097,2026 ACURA ADX          3/03/26  3HDSA1H32TM701097,A7994
2026 Acura ACURAADX,3HDSA1H33TM702386,702386,"$35,575.00 "," (35,575.00)",702386,2026 ACURA ADX          3/16/26  3HDSA1H33TM702386,A8037
2026 Acura ACURAADX,3HDSA1H39TM702571,702571,"$35,575.00 "," (35,575.00)",702571,2026 ACURA ADX          3/25/26  3HDSA1H39TM702571,A8082
2026 Acura ACURAADX,3HDSA1H32TM702735,702735,"$35,575.00 "," (35,575.00)",702735,2026 ACURA ADX          3/25/26  3HDSA1H32TM702735,A8092
2026 Acura ACURAADX,3HDSA1H33TM702839,702839,"$35,575.00 "," (35,575.00)",702839,2026 ACURA ADX          3/24/26  3HDSA1H33TM702839,A8090
2026 Acura ACURAADX,3HDSA1H34TM702851,702851,"$35,575.00 "," (35,575.00)",702851,2026 ACURA ADX          4/15/26  3HDSA1H34TM702851,A8091
2026 Acura ACURAINTEGA-S,19UDE4H32TA014118,014118,"$35,878.90 "," (35,878.90)",014118,2026 ACURA INTEGRA      3/31/26  19UDE4H32TA014118,A8139
,,,," (35,878.90)",016179,2026 ACURA INTEGRA      4/30/26  19UDE4H3XTA016179,A8232
,,,," (35,878.90)",016518,2026 ACURA INTEGRA      4/30/26  19UDE4H36TA016518,A8231
2026 Acura ACURAADX,3HDSA1H39TM701923,701923,"$36,151.00 "," (36,151.00)",701923,2026 ACURA ADX          3/03/26  3HDSA1H39TM701923,A8001
2026 Acura ACURAADX,3HDSA1H37TM701953,701953,"$36,151.00 "," (36,151.00)",701953,"GARCIA, AARON DANIEL    3/07/26  3HDSA1H37TM701953",A7987
2026 Acura ACURAADX,3HDSA1H3XTM702000,702000,"$36,151.00 "," (36,151.00)",702000,"NICHOLSON, DREW KERST   3/13/26  3HDSA1H3XTM702000",A7982
2026 Acura ACURAINTEGA-S,19UDE4H35TA001878,001878,"$36,354.90 "," (36,354.90)",001878,2026 ACURA INTEGRA      9/25/25  19UDE4H35TA001878,A7624
